PL_Index,nu_syn,LP_Index,Pivot_Energy,Frac_Variability,Variability_Index,nuFnu_syn,CLASS
1.8347769,970509940000000.0,1.6441551,2302.2676,0.28743574,35.077538,3.5052096e-12,BLL
2.075824,5754399500000.0,1.8425844,2120.225,1.036215,45.245453,3.5209918e-13,BLL
2.282298,7079464000000.0,2.2794378,2112.0662,0.0,6.9001756,1.4249676e-13,BCU
2.43293,0.0,2.3850846,924.88617,1.1231472,97.43484,0.0,BCU
2.3680823,36307804000000.0,2.2985911,1350.536,0.21417415,14.622583,1.1114834e-12,FSRQ
2.2103362,1124605000000000.0,2.1960049,1383.1661,0.5054583,64.20117,6.328226e-12,BLL
2.0819557,63826347000000.0,2.0854409,1994.029,0.05327145,11.019728,5.856417e-13,BLL
2.238115,2570395800000.0,2.149747,651.651,1.3562248,2709.9248,1.7555896e-12,FSRQ
2.720712,3019951800000.0,2.6615899,454.9709,0.32650566,22.938513,3.5447695e-13,FSRQ
1.79883,0.0,1.7724652,4109.496,0.0,6.9080434,0.0,BLL
2.0564995,562341300000000.0,1.9240924,2315.2593,0.65184945,31.704056,4.9426175e-13,BCU
1.9184054,19054608000000.0,1.987719,5582.694,0.4897092,18.322449,5.794887e-13,BLL
2.2231188,316227770000000.0,2.0770545,1752.8759,0.69765157,30.359228,1.5927881e-12,BLL
2.3527422,0.0,2.145435,1124.1454,0.45853096,16.098127,0.0,BCU
2.033333,1798871000000000.0,2.072971,3811.1277,0.41717973,13.320071,1.1366244e-12,FSRQ
1.8118088,158489330000000.0,1.796452,5701.2485,0.48938742,16.843828,3.8842573e-13,BCU
1.7639744,691831000000000.0,1.580252,5678.315,0.0,8.522834,7.619825e-13,BLL
2.0830975,0.0,2.0725732,3219.928,0.0,7.513492,0.0,BLL
2.2841105,1862087100000.0,2.2602847,1391.903,0.23037435,17.115915,4.2436738e-13,FSRQ
2.069559,0.0,2.0808864,2827.8633,0.22696751,15.726936,0.0,BLL
2.264147,82224260000000.0,2.2453601,2107.9673,0.32660174,16.514269,5.6142016e-13,BCU
1.9657776,3019951800000000.0,1.7318703,2835.6863,0.35027233,16.252178,1.0317489e-12,BLL
1.943901,58884367000000.0,1.8468376,1355.8708,0.4441203,224.46927,3.0096363e-13,FSRQ
2.6243083,9120108000000.0,2.6307836,853.1744,0.80801016,53.470932,1.112272e-12,FSRQ
2.4254324,15135623000000.0,2.3684855,1162.3964,0.0,10.434306,9.672372e-13,BCU
2.5730233,5370318000000.0,2.5521739,548.9101,0.7487317,155.56012,9.893569e-13,FSRQ
1.812183,7943282000000000.0,1.6685804,2143.494,0.8666426,250.93938,5.5650107e-12,BLL
1.9936576,0.0,1.957822,2165.9553,0.2989295,33.83813,0.0,BLL
1.97834,0.0,1.9639565,2316.1304,0.48492384,73.099915,0.0,BLL
2.4494343,4466835700000.0,2.4624088,1589.3312,1.3932493,136.75381,3.3597813e-13,FSRQ
2.1068342,562341300000000.0,2.034741,2285.883,0.1915113,12.729997,1.1781592e-12,BCU
